Title,Authors,Published,Link,Abstract_EN,Abstract_ZH,One_Sentence_Summary,Model_Type,HHH_Focus,Keywords
Contextual Experience Replay for Self-Improvement of Language Agents,"Yitao Liu, Chenglei Si, Karthik Narasimhan, Shunyu Yao",2025-06-07T07:47:35Z,http://arxiv.org/pdf/2506.06698v1,"Large language model (LLM) agents have been applied to sequential
decision-making tasks such as web navigation, but without any
environment-specific experiences, they often fail in these complex tasks.
Moreover, current LLM agents are not designed to continually learn from past
experiences during inference time, which could be crucial for them to gain
these environment-specific experiences. To address this, we propose Contextual
Experience Replay (CER), a training-free framework to enable efficient
self-improvement for language agents in their context window. Specifically, CER
accumulates and synthesizes past experiences into a dynamic memory buffer.
These experiences encompass environment dynamics and common decision-making
patterns, allowing the agents to retrieve and augment themselves with relevant
knowledge in new tasks, enhancing their adaptability in complex environments.
We evaluate CER on the challenging WebArena and VisualWebArena benchmarks. On
VisualWebArena, CER achieves a competitive performance of 31.9%. On WebArena,
CER also gets a competitive average success rate of 36.7%, relatively improving
the success rate of the GPT-4o agent baseline by 51.0%. We also conduct a
comprehensive analysis on it to prove its efficiency, validity and understand
it better.",大语言模型（LLM）代理已经应用于顺序决策任务，如网页导航，但没有任何特定于环境的经验，它们在这些复杂任务中往往会失败。此外，当前的LLM代理并未设计为在推理时间持续学习过去的经验，这对于它们获得这些特定于环境的经验可能至关重要。为了解决这个问题，我们提出了上下文经验回放（CER），这是一个无需训练的框架，旨在使语言代理在其上下文窗口中实现高效的自我改进。具体来说，CER将过去的经验累积并合成到一个动态内存缓冲区中。这些经验包括环境动态和常见的决策制定模式，使代理能够检索并用相关知识增强自己，以提高其在复杂环境中的适应性。我们在具有挑战性的WebArena和VisualWebArena基准测试中评估了CER。在VisualWebArena上，CER实现了31.9%的竞争性性能。在WebArena上，CER也获得了36.7%的竞争性平均成功率，相对提高了GPT-4o代理基线的成功率51.0%。我们还对其进行了全面分析，以证明其效率、有效性并更好地理解它。,"The paper introduces Contextual Experience Replay (CER), a training-free framework to enhance the adaptability of LLM agents in complex environments by learning from past experiences.",LLM,Helpful,"LLM, Contextual Experience Replay, Self-Improvement, Decision-Making, Adaptability"
"from Benign import Toxic: Jailbreaking the Language Model via
  Adversarial Metaphors","Yu Yan, Sheng Sun, Zenghao Duan, Teli Liu, Min Liu, Zhiyi Yin, Jiangyu Lei, Qi Li",2025-02-25T08:41:25Z,http://arxiv.org/pdf/2503.00038v3,"Current studies have exposed the risk of Large Language Models (LLMs)
generating harmful content by jailbreak attacks. However, they overlook that
the direct generation of harmful content from scratch is more difficult than
inducing LLM to calibrate benign content into harmful forms. In our study, we
introduce a novel attack framework that exploits AdVersArial meTAphoR (AVATAR)
to induce the LLM to calibrate malicious metaphors for jailbreaking.
Specifically, to answer harmful queries, AVATAR adaptively identifies a set of
benign but logically related metaphors as the initial seed. Then, driven by
these metaphors, the target LLM is induced to reason and calibrate about the
metaphorical content, thus jailbroken by either directly outputting harmful
responses or calibrating residuals between metaphorical and professional
harmful content. Experimental results demonstrate that AVATAR can effectively
and transferable jailbreak LLMs and achieve a state-of-the-art attack success
rate across multiple advanced LLMs.",目前的研究揭示了大型语言模型（LLM）通过越狱攻击生成有害内容的风险。然而，他们忽视了直接从头开始生成有害内容比诱导LLM将良性内容调整为有害形式更困难。在我们的研究中，我们引入了一种新的攻击框架，利用AdVersArial meTAphoR（AVATAR）来诱导LLM调整恶意隐喻以进行越狱。具体来说，为了回答有害查询，AVATAR自适应地识别一组良性但逻辑相关的隐喻作为初始种子。然后，由这些隐喻驱动，目标LLM被诱导推理和调整隐喻内容，从而通过直接输出有害响应或调整隐喻和专业有害内容之间的残差来越狱。实验结果表明，AVATAR可以有效地和可转移地越狱LLM，并在多个先进的LLM中实现最先进的攻击成功率。,"The paper presents AVATAR, a framework that uses metaphors to jailbreak LLMs into generating harmful content.",LLM,Harmless,"Jailbreaking, Metaphors, Harmful Content, LLM Attacks, AVATAR"
Auditing Black-Box LLM APIs with a Rank-Based Uniformity Test,"Xiaoyuan Zhu, Yaowen Ye, Tianyi Qiu, Hanlin Zhu, Sijun Tan, Ajraf Mannan, Jonathan Michala, Raluca Ada Popa, Willie Neiswanger",2025-06-08T03:00:31Z,http://arxiv.org/pdf/2506.06975v1,"As API access becomes a primary interface to large language models (LLMs),
users often interact with black-box systems that offer little transparency into
the deployed model. To reduce costs or maliciously alter model behaviors, API
providers may discreetly serve quantized or fine-tuned variants, which can
degrade performance and compromise safety. Detecting such substitutions is
difficult, as users lack access to model weights and, in most cases, even
output logits. To tackle this problem, we propose a rank-based uniformity test
that can verify the behavioral equality of a black-box LLM to a locally
deployed authentic model. Our method is accurate, query-efficient, and avoids
detectable query patterns, making it robust to adversarial providers that
reroute or mix responses upon the detection of testing attempts. We evaluate
the approach across diverse threat scenarios, including quantization, harmful
fine-tuning, jailbreak prompts, and full model substitution, showing that it
consistently achieves superior statistical power over prior methods under
constrained query budgets.",随着API访问成为大型语言模型（LLM）的主要接口，用户通常与提供很少透明度的黑箱系统进行交互。为了降低成本或恶意改变模型行为，API提供者可能会悄悄地提供量化或微调的变体，这可能会降低性能并损害安全性。检测这些替换是困难的，因为用户无法访问模型权重，在大多数情况下甚至无法访问输出对数。为了解决这个问题，我们提出了一种基于排名的均匀性测试，可以验证黑箱LLM与本地部署的真实模型的行为等价性。我们的方法准确、查询高效，并且避免了可检测的查询模式，使其能够抵御在检测到测试尝试时重新路由或混合响应的对抗性提供者。我们在多种威胁场景下评估了该方法，包括量化、有害微调、越狱提示和完整模型替换，表明在受限查询预算下，它在统计功率方面始终优于先前的方法。,"The paper introduces a rank-based uniformity test to verify the behavioral equality of black-box LLM APIs, ensuring safety and detecting harmful fine-tuning.",LLM,Harmless,"LLM API, black-box, safety, uniformity test, harmful fine-tuning"
"RED QUEEN: Safeguarding Large Language Models against Concealed
  Multi-Turn Jailbreaking","Yifan Jiang, Kriti Aggarwal, Tanmay Laud, Kashif Munir, Jay Pujara, Subhabrata Mukherjee",2024-09-26T01:24:17Z,http://arxiv.org/pdf/2409.17458v2,"The rapid progress of Large Language Models (LLMs) has opened up new
opportunities across various domains and applications; yet it also presents
challenges related to potential misuse. To mitigate such risks, red teaming has
been employed as a proactive security measure to probe language models for
harmful outputs via jailbreak attacks. However, current jailbreak attack
approaches are single-turn with explicit malicious queries that do not fully
capture the complexity of real-world interactions. In reality, users can engage
in multi-turn interactions with LLM-based chat assistants, allowing them to
conceal their true intentions in a more covert manner. To bridge this gap, we,
first, propose a new jailbreak approach, RED QUEEN ATTACK. This method
constructs a multi-turn scenario, concealing the malicious intent under the
guise of preventing harm. We craft 40 scenarios that vary in turns and select
14 harmful categories to generate 56k multi-turn attack data points. We conduct
comprehensive experiments on the RED QUEEN ATTACK with four representative LLM
families of different sizes. Our experiments reveal that all LLMs are
vulnerable to RED QUEEN ATTACK, reaching 87.62% attack success rate on GPT-4o
and 75.4% on Llama3-70B. Further analysis reveals that larger models are more
susceptible to the RED QUEEN ATTACK, with multi-turn structures and concealment
strategies contributing to its success. To prioritize safety, we introduce a
straightforward mitigation strategy called RED QUEEN GUARD, which aligns LLMs
to effectively counter adversarial attacks. This approach reduces the attack
success rate to below 1% while maintaining the model's performance across
standard benchmarks. Full implementation and dataset are publicly accessible at
https://github.com/kriti-hippo/red_queen.",大语言模型（LLMs）的快速进步在各个领域和应用中开辟了新的机会；然而，它也带来了潜在滥用的挑战。为了缓解这些风险，红队已被用作一种主动的安全措施，通过越狱攻击探测语言模型的有害输出。然而，当前的越狱攻击方法是单次的，具有明确的恶意查询，无法完全捕捉现实世界交互的复杂性。实际上，用户可以与基于LLM的聊天助手进行多次交互，从而以更隐蔽的方式掩盖他们的真实意图。为了弥合这一差距，我们首先提出了一种新的越狱方法，称为RED QUEEN ATTACK。该方法构建了一个多次交互的场景，将恶意意图掩盖在防止伤害的幌子下。我们设计了40种不同的场景，选择了14种有害类别，生成了56k个多次攻击数据点。我们对RED QUEEN ATTACK进行了全面的实验，使用了四个不同大小的代表性LLM家族。我们的实验表明，所有LLM都容易受到RED QUEEN ATTACK的攻击，GPT-4o的攻击成功率为87.62%，Llama3-70B为75.4%。进一步的分析表明，较大的模型更容易受到RED QUEEN ATTACK的攻击，多次结构和掩盖策略有助于其成功。为了优先考虑安全性，我们引入了一种简单的缓解策略，称为RED QUEEN GUARD，它将LLM对齐以有效地抵御敌对攻击。这种方法将攻击成功率降低到1%以下，同时保持模型在标准基准上的性能。完整的实现和数据集可在https://github.com/kriti-hippo/red_queen上公开获取。,The paper introduces a multi-turn jailbreaking attack method for LLMs and a mitigation strategy to align LLMs to be more harmless.,LLM,Harmless,"Jailbreaking, Multi-Turn Attacks, Safety, Alignment, LLMs"
Watermark under Fire: A Robustness Evaluation of LLM Watermarking,"Jiacheng Liang, Zian Wang, Lauren Hong, Shouling Ji, Ting Wang",2024-11-20T16:09:22Z,http://arxiv.org/pdf/2411.13425v3,"Various watermarking methods (``watermarkers'') have been proposed to
identify LLM-generated texts; yet, due to the lack of unified evaluation
platforms, many critical questions remain under-explored: i) What are the
strengths/limitations of various watermarkers, especially their attack
robustness? ii) How do various design choices impact their robustness? iii) How
to optimally operate watermarkers in adversarial environments? To fill this
gap, we systematize existing LLM watermarkers and watermark removal attacks,
mapping out their design spaces. We then develop WaterPark, a unified platform
that integrates 10 state-of-the-art watermarkers and 12 representative attacks.
More importantly, by leveraging WaterPark, we conduct a comprehensive
assessment of existing watermarkers, unveiling the impact of various design
choices on their attack robustness. We further explore the best practices to
operate watermarkers in adversarial environments. We believe our study sheds
light on current LLM watermarking techniques while WaterPark serves as a
valuable testbed to facilitate future research.",提出了各种水印方法（``水印器''）来识别LLM生成的文本；然而，由于缺乏统一的评估平台，许多关键问题仍未得到充分探讨：i）各种水印器的优势/局限性是什么，特别是它们的攻击鲁棒性？ii）各种设计选择如何影响它们的鲁棒性？iii）如何在对抗环境中最佳运行水印器？为了填补这一空白，我们系统化了现有的LLM水印器和水印移除攻击，绘制了它们的设计空间。然后，我们开发了WaterPark，一个集成了10个最新水印器和12种代表性攻击的统一平台。更重要的是，通过利用WaterPark，我们对现有的水印器进行了全面评估，揭示了各种设计选择对其攻击鲁棒性的影响。我们还探索了在对抗环境中运行水印器的最佳实践。我们认为我们的研究为当前的LLM水印技术提供了启示，而WaterPark作为一个有价值的测试床，有助于促进未来的研究。,The paper evaluates the robustness of LLM watermarking techniques against various attacks and provides best practices for their use in adversarial environments.,LLM,"Harmless, Honest","Watermarking, LLM, Robustness, Attack, Evaluation"
Active Preference Optimization for Sample Efficient RLHF,"Nirjhar Das, Souradip Chakraborty, Aldo Pacchiano, Sayak Ray Chowdhury",2024-02-16T08:19:34Z,http://arxiv.org/pdf/2402.10500v3,"Large Language Models (LLMs) aligned using Reinforcement Learning from Human
Feedback (RLHF) have shown remarkable generation abilities in numerous tasks.
However, collecting high-quality human preferences creates costly bottlenecks
in practical deployments, and hence, training data are often budgeted. In these
scenarios, it is crucial to collect training data (e.g., contexts, a pair of
generations for each context, and a preference indicating which generation is
better) carefully, yet most of the existing methods sample contexts uniformly
at random from a given collection. Given this, under the Bradley-Terry-Luce
preference model and with a small budget of training data, we show that uniform
sampling of contexts could lead to a policy (i.e., an aligned model) that
suffers a constant sub-optimality gap from the optimal policy. This highlights
the need for an adaptive context sampling strategy for effective alignment
under a small sample budget. To address this, we reformulate RLHF within the
contextual preference bandit framework, treating generations as actions, and
give a nearly complete characterization of the sub-optimality gap in terms of
both lower and upper bounds. First, when the action set is a $d$-dimensional
hypercube and the number of samples is $T$, we show an $\Omega(d/\sqrt{T})$
lower bound. Next, we propose an algorithm, $\textit{Active Preference
Optimization}$ ($\texttt{APO}$), that iteratively collects preferences for the
most uncertain contexts. We show that the sub-optimality gap of the policy
learned via $\texttt{APO}$ matches the lower bound up to a log factor and a
non-linearity constant. Finally, we perform experiments on practical datasets
to validate $\texttt{APO}$'s efficacy over existing methods, establishing it as
a sample-efficient and cost-effective solution for LLM alignment.",使用人类反馈的强化学习（RLHF）对齐的大语言模型（LLMs）在许多任务中表现出显著的生成能力。然而，收集高质量的人类偏好会在实际部署中创建昂贵的瓶颈，因此训练数据通常是有预算的。在这些情况下，仔细收集训练数据（例如，上下文、每个上下文的一对生成和一个偏好，指示哪个生成更好）是至关重要的，然而，大多数现有方法从给定的集合中均匀随机地采样上下文。鉴于此，在布拉德利-特里-卢斯偏好模型和小训练数据预算下，我们表明，上下文的均匀采样可能导致一个政策（即对齐模型）从最佳政策中受到恒定的次优性差距。这突显了在小样本预算下有效对齐所需的自适应上下文采样策略。为了解决这个问题，我们在上下文偏好赌徒框架内重新表述RLHF，将生成视为操作，并给出了次优性差距的几乎完整的表征，包括下界和上界。首先，当操作集是一个$d$维超立方体且样本数为$T$时，我们显示了一个$\Omega(d/\sqrt{T})$下界。接下来，我们提出了一种算法，$\textit{Active Preference Optimization}$ ($\texttt{APO}$)，它迭代地为最不确定的上下文收集偏好。我们表明，通过$\texttt{APO}$学习的策略的次优性差距与下界相匹配，除了一个对数因子和一个非线性常数。最后，我们在实际数据集上进行实验，以验证$\texttt{APO}$在现有方法上的有效性，将其确立为LLM对齐的样本高效和成本有效的解决方案。,"The paper introduces Active Preference Optimization (APO), an algorithm for efficient LLM alignment using RLHF, which adaptively samples contexts to minimize the sub-optimality gap under limited training data.",LLM,Helpful,"RLHF, LLM alignment, sample efficiency, preference optimization, contextual bandits"
"FedALT: Federated Fine-Tuning through Adaptive Local Training with
  Rest-of-World LoRA","Jieming Bian, Lei Wang, Letian Zhang, Jie Xu",2025-03-14T21:07:46Z,http://arxiv.org/pdf/2503.11880v2,"Fine-tuning large language models (LLMs) in federated settings enables
privacy-preserving adaptation but suffers from cross-client interference due to
model aggregation. Existing federated LoRA fine-tuning methods, primarily based
on FedAvg, struggle with data heterogeneity, leading to harmful cross-client
interference and suboptimal personalization. In this work, we propose
\textbf{FedALT}, a novel personalized federated LoRA fine-tuning algorithm that
fundamentally departs from FedAvg. Instead of using an aggregated model to
initialize local training, each client continues training its individual LoRA
while incorporating shared knowledge through a separate Rest-of-World (RoW)
LoRA component. To effectively balance local adaptation and global information,
FedALT introduces an adaptive mixer that dynamically learns input-specific
weightings between the individual and RoW LoRA components, drawing conceptual
foundations from the Mixture-of-Experts (MoE) paradigm. Through extensive
experiments on NLP benchmarks, we demonstrate that FedALT significantly
outperforms state-of-the-art personalized federated LoRA fine-tuning methods,
achieving superior local adaptation without sacrificing computational
efficiency.",在联邦设置中微调大型语言模型（LLMs）使得隐私保护适应成为可能，但由于模型聚合导致跨客户端干扰。现有的联邦LoRA微调方法，主要基于FedAvg，在处理数据异构性方面存在困难，导致有害的跨客户端干扰和次优的个性化。在本文中，我们提出了一个新的个性化联邦LoRA微调算法FedALT，它在概念上与FedAvg有根本区别。与其使用聚合模型来初始化本地训练，每个客户端继续训练其个体LoRA，同时通过单独的Rest-of-World（RoW）LoRA组件引入共享知识。为了有效地平衡本地适应和全局信息，FedALT引入了一个自适应混合器，它动态地学习输入特定的权重，在个体和RoW LoRA组件之间进行权衡，概念基础来自于专家混合（MoE）范式。通过在NLP基准测试中的广泛实验，我们证明了FedALT在实现优越的本地适应性的同时，显著优于现有的个性化联邦LoRA微调方法，而不会牺牲计算效率。,"The paper introduces FedALT, a novel federated fine-tuning algorithm for LLMs that improves personalization and reduces harmful cross-client interference.",LLM,Harmless,"Federated learning, Fine-tuning, LoRA, Personalization, Harmful interference"
"BLEUBERI: BLEU is a surprisingly effective reward for instruction
  following","Yapei Chang, Yekyung Kim, Michael Krumdick, Amir Zadeh, Chuan Li, Chris Tanner, Mohit Iyyer",2025-05-16T10:11:43Z,http://arxiv.org/pdf/2505.11080v2,"Reward models are central to aligning LLMs with human preferences, but they
are costly to train, requiring large-scale human-labeled preference data and
powerful pretrained LLM backbones. Meanwhile, the increasing availability of
high-quality synthetic instruction-following datasets raises the question: can
simpler, reference-based metrics serve as viable alternatives to reward models
during RL-based alignment? In this paper, we show first that BLEU, a basic
string-matching metric, surprisingly matches strong reward models in agreement
with human preferences on general instruction-following datasets. Based on this
insight, we develop BLEUBERI, a method that first identifies challenging
instructions and then applies Group Relative Policy Optimization (GRPO) using
BLEU directly as the reward function. We demonstrate that BLEUBERI-trained
models are competitive with models trained via reward model-guided RL across
four challenging instruction-following benchmarks and three different base
language models. A human evaluation further supports that the quality of
BLEUBERI model outputs is on par with those from reward model-aligned models.
Moreover, BLEUBERI models generate outputs that are more factually grounded
than competing methods. Overall, we show that given access to high-quality
reference outputs (easily obtained via existing instruction-following datasets
or synthetic data generation), string matching-based metrics are cheap yet
effective proxies for reward models during alignment. We release our code and
data at https://github.com/lilakk/BLEUBERI.",奖励模型是将大型语言模型（LLM）与人类偏好对齐的核心，但它们的训练成本高，需要大规模的人类标记偏好数据和强大的预训练LLM骨干。与此同时，高质量的合成指令遵循数据集的可用性不断增加，这引发了一个问题：更简单的、基于参考的度量标准是否可以在基于RL的对齐过程中作为奖励模型的可行替代品？在本文中，我们首先展示了BLEU，一个基本的字符串匹配度量标准，在一般的指令遵循数据集上与强大的奖励模型在与人类偏好的一致性方面表现出色。基于这一洞见，我们开发了BLEUBERI，一种首先识别具有挑战性的指令，然后使用BLEU直接作为奖励函数应用组相对策略优化（GRPO）的方法。我们证明了BLEUBERI训练的模型在四个具有挑战性的指令遵循基准测试和三种不同的基础语言模型上与通过奖励模型引导的RL训练的模型具有竞争力。人类评估进一步支持BLEUBERI模型输出的质量与奖励模型对齐模型的输出相当。此外，BLEUBERI模型生成的输出比竞争方法更具事实依据。总的来说，我们展示了在获得高质量的参考输出（通过现有的指令遵循数据集或合成数据生成轻松获得）的情况下，基于字符串匹配的度量标准是便宜且有效的奖励模型代理。,"The paper introduces BLEUBERI, a method using BLEU as a reward function for aligning LLMs with human preferences, showing it to be an effective and cost-efficient alternative to traditional reward models.",LLM,"Helpful, Honest","BLEU, reward model, instruction following, alignment, RL"
Taxonomizing Representational Harms using Speech Act Theory,"Emily Corvi, Hannah Washington, Stefanie Reed, Chad Atalla, Alexandra Chouldechova, P. Alex Dow, Jean Garcia-Gathright, Nicholas Pangakis, Emily Sheng, Dan Vann, Matthew Vogel, Hanna Wallach",2025-04-01T16:00:17Z,http://arxiv.org/pdf/2504.00928v2,"Representational harms are widely recognized among fairness-related harms
caused by generative language systems. However, their definitions are commonly
under-specified. We make a theoretical contribution to the specification of
representational harms by introducing a framework, grounded in speech act
theory (Austin, 1962), that conceptualizes representational harms caused by
generative language systems as the perlocutionary effects (i.e., real-world
impacts) of particular types of illocutionary acts (i.e., system behaviors).
Building on this argument and drawing on relevant literature from linguistic
anthropology and sociolinguistics, we provide new definitions of stereotyping,
demeaning, and erasure. We then use our framework to develop a granular
taxonomy of illocutionary acts that cause representational harms, going beyond
the high-level taxonomies presented in previous work. We also discuss the ways
that our framework and taxonomy can support the development of valid
measurement instruments. Finally, we demonstrate the utility of our framework
and taxonomy via a case study that engages with recent conceptual debates about
what constitutes a representational harm and how such harms should be measured.","表征性伤害是生成语言系统引起的公平相关伤害中广泛认可的一种。然而，它们的定义通常是不完整的。我们通过引入一个基于言语行为理论（Austin, 1962）的框架，对生成语言系统引起的表征性伤害进行了理论贡献，将其概念化为特定类型的言语行为（即系统行为）的效果（即现实世界的影响）。在本文中，我们提供了刻板印象、贬低和消除的新定义。然后，我们使用我们的框架开发了一个细粒度的言语行为分类法，超越了以前工作中提出的高层次分类法。我们还讨论了我们的框架和分类法如何支持有效测量工具的开发。最后，我们通过一个案例研究，展示了我们的框架和分类法的实用性，该案例研究涉及了关于什么构成表征性伤害以及如何测量这些伤害的最新概念辩论。",The paper introduces a framework based on speech act theory to categorize and measure representational harms caused by generative language systems.,LLM,Harmless,"Representational harms, Speech act theory, Generative language systems, Stereotyping, Demeaning, Erasure"
"Break-The-Chain: Reasoning Failures in LLMs via Adversarial Prompting in
  Code Generation","Jaechul Roh, Varun Gandhi, Shivani Anilkumar, Arin Garg",2025-06-08T02:43:46Z,http://arxiv.org/pdf/2506.06971v1,"Large Language Models (LLMs) have achieved remarkable success in tasks
requiring complex reasoning, such as code generation, mathematical problem
solving, and algorithmic synthesis -- especially when aided by reasoning tokens
and Chain-of-Thought prompting. Yet, a core question remains: do these models
truly reason, or do they merely exploit shallow statistical patterns? In this
paper, we systematically investigate the robustness of reasoning LLMs by
introducing a suite of semantically faithful yet adversarially structured
prompt perturbations. Our evaluation -- spanning 700 perturbed code generations
derived from LeetCode-style problems -- applies transformations such as
storytelling reframing, irrelevant constraint injection, example reordering,
and numeric perturbation. We observe that while certain modifications severely
degrade performance (with accuracy drops up to -42.1%), others surprisingly
improve model accuracy by up to 35.3%, suggesting sensitivity not only to
semantics but also to surface-level prompt dynamics. These findings expose the
fragility and unpredictability of current reasoning systems, underscoring the
need for more principles approaches to reasoning alignments and prompting
robustness. We release our perturbation datasets and evaluation framework to
promote further research in trustworthy and resilient LLM reasoning.",大语言模型（LLMs）在需要复杂推理的任务中取得了显著成功，例如代码生成、数学问题解决和算法合成，特别是在推理标记和思维链提示的帮助下。然而，一个核心问题仍然存在：这些模型是否真正推理，还是仅仅利用浅层的统计模式？在本文中，我们通过引入一套语义忠实但对抗性结构的提示扰动，系统地研究了推理LLMs的健壮性。我们的评估涵盖了700个从LeetCode风格问题派生的扰动代码生成，应用了故事讲述重新框定、无关约束注入、示例重新排序和数值扰动等变换。我们观察到，虽然某些修改严重降低了性能（准确率下降高达-42.1%），但其他修改却出乎意料地提高了模型的准确率，高达35.3%，这表明对语义和表面层提示动态的敏感性。这些发现揭示了当前推理系统的脆弱性和不可预测性，强调了需要更多原则性的推理对齐和提示健壮性的方法。我们发布了我们的扰动数据集和评估框架，以促进可信赖和弹性LLM推理的进一步研究。,"The paper investigates the robustness of reasoning in LLMs through adversarial prompting, highlighting the need for better alignment and prompting strategies.",LLM,"Helpful, Honest","Reasoning, Robustness, Adversarial Prompting, Code Generation, LLM"
