Title,Authors,Published,Link,Abstract_EN,Abstract_ZH,One_Sentence_Summary,Model_Type,HHH_Focus,Keywords
Retrieval-Confused Generation is a Good Defender for Privacy Violation Attack of Large Language Models,"Wanli Peng, Xin Chen, Hang Fu, XinYu He, Xue Yiming, Juan Wen",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.19889.pdf,"Recent advances in large language models (LLMs) have made a profound impact on our society and also raised new security concerns. Particularly, due to the remarkable inference ability of LLMs, the privacy violation attack (PVA), revealed by Staab et al., introduces serious personal privacy issues. Existing defense methods mainly leverage LLMs to anonymize the input query, which requires costly inference time and cannot gain satisfactory defense performance. Moreover, directly rejecting the PVA query seems like an effective defense method, while the defense method is exposed, promoting the evolution of PVA. In this paper, we propose a novel defense paradigm based on retrieval-confused generation (RCG) of LLMs, which can efficiently and covertly defend the PVA. We first design a paraphrasing prompt to induce the LLM to rewrite the ""user comments"" of the attack query to construct a disturbed database. Then, we propose the most irrelevant retrieval strategy to retrieve the desired user data from the disturbed database. Finally, the ""data comments"" are replaced with the retrieved user data to form a defended query, leading to responding to the adversary with some wrong personal attributes, i.e., the attack fails. Extensive experiments are conducted on two datasets and eight popular LLMs to comprehensively evaluate the feasibility and the superiority of the proposed defense method.",最近，大语言模型（LLMs）的进步对我们的社会产生了深远的影响，也引发了新的安全问题。特别是由于LLMs的出色推理能力，Staab等人揭示的隐私侵犯攻击（PVA）引发了严重的个人隐私问题。现有的防御方法主要利用LLMs对输入查询进行匿名化，这需要昂贵的推理时间，并且无法获得令人满意的防御性能。此外，直接拒绝PVA查询似乎是一种有效的防御方法，但防御方法一旦暴露，就会促进PVA的进化。在本文中，我们提出了一种基于LLMs的检索混淆生成（RCG）的新防御范式，可以高效且隐蔽地防御PVA。我们首先设计了一个改写提示，诱导LLM将攻击查询的“用户评论”重写为构建扰动数据库。然后，我们提出了最不相关的检索策略，从扰动数据库中检索所需的用户数据。最后，用检索到的用户数据替换“数据评论”，以形成一个防御查询，导致对手收到一些错误的个人属性，即攻击失败。我们在两个数据集和八个流行的LLMs上进行了广泛的实验，全面评估了所提出的防御方法的可行性和优越性。,The paper introduces a novel defense mechanism called retrieval-confused generation to protect large language models from privacy violation attacks.,LLM,Harmless,"Privacy Violation, Defense Mechanism, Retrieval-Confused Generation, Large Language Models, Security"
Persona-Assigned Large Language Models Exhibit Human-Like Motivated Reasoning,"Saloni Dash, Am\'elie Reymond, Emma S. Spiro, Aylin Caliskan",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20020.pdf,"Reasoning in humans is prone to biases due to underlying motivations like identity protection, that undermine rational decision-making and judgment. This motivated reasoning at a collective level can be detrimental to society when debating critical issues such as human-driven climate change or vaccine safety, and can further aggravate political polarization. Prior studies have reported that large language models (LLMs) are also susceptible to human-like cognitive biases, however, the extent to which LLMs selectively reason toward identity-congruent conclusions remains largely unexplored. Here, we investigate whether assigning 8 personas across 4 political and socio-demographic attributes induces motivated reasoning in LLMs. Testing 8 LLMs (open source and proprietary) across two reasoning tasks from human-subject studies -- veracity discernment of misinformation headlines and evaluation of numeric scientific evidence -- we find that persona-assigned LLMs have up to 9% reduced veracity discernment relative to models without personas. Political personas specifically, are up to 90% more likely to correctly evaluate scientific evidence on gun control when the ground truth is congruent with their induced political identity. Prompt-based debiasing methods are largely ineffective at mitigating these effects. Taken together, our empirical findings are the first to suggest that persona-assigned LLMs exhibit human-like motivated reasoning that is hard to mitigate through conventional debiasing prompts -- raising concerns of exacerbating identity-congruent reasoning in both LLMs and humans.",人类的推理容易受到保护身份等动机的偏见影响，从而削弱理性决策和判断。这种动机推理在集体层面上可能对社会有害，例如在讨论人为气候变化或疫苗安全等关键问题时，可能进一步加剧政治极化。先前的研究表明，大型语言模型（LLMs）也容易受到类似人类的认知偏见的影响，然而，LLMs在多大程度上选择性地推理出与身份一致的结论仍然尚未探索。在此，我们研究将8个角色分配给4个政治和社会人口统计属性，是否会在LLMs中引发动机推理。我们在两个来自人类受试者研究的推理任务中测试了8个LLMs（开源和专有），即辨别虚假信息标题的真实性和评估数字科学证据，发现分配角色的LLMs在真实性辨别方面相对于没有角色的模型减少了高达9%。特别是政治角色，当地面真相与其诱导的政治身份一致时，正确评估枪支管制的科学证据的可能性高达90%。基于提示的去偏方法在很大程度上无效于缓解这些效应。综上所述，我们的实证发现首次表明，分配角色的LLMs表现出类似人类的动机推理，难以通过常规去偏提示来缓解，这引发了对在LLMs和人类中加剧与身份一致的推理的担忧。,"The paper finds that large language models assigned personas exhibit human-like motivated reasoning, which is difficult to mitigate through conventional debiasing methods.",LLM,Harmless,"Motivated reasoning, Persona assignment, Bias, Debiasing, LLMs"
DiaLLMs: EHR Enhanced Clinical Conversational System for Clinical Test Recommendation and Diagnosis Prediction,"Weijieying Ren, Tianxiang Zhao, Lei Wang, Tianchun Wang, Vasant Honavar",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20059.pdf,"Recent advances in Large Language Models (LLMs) have led to remarkable progresses in medical consultation. However, existing medical LLMs overlook the essential role of Electronic Health Records (EHR) and focus primarily on diagnosis recommendation, limiting their clinical applicability. We propose DiaLLM, the first medical LLM that integrates heterogeneous EHR data into clinically grounded dialogues, enabling clinical test recommendation, result interpretation, and diagnosis prediction to better align with real-world medical practice. To construct clinically grounded dialogues from EHR, we design a Clinical Test Reference (CTR) strategy that maps each clinical code to its corresponding description and classifies test results as ""normal"" or ""abnormal"". Additionally, DiaLLM employs a reinforcement learning framework for evidence acquisition and automated diagnosis. To handle the large action space, we introduce a reject sampling strategy to reduce redundancy and improve exploration efficiency. Furthermore, a confirmation reward and a class-sensitive diagnosis reward are designed to guide accurate diagnosis prediction. Extensive experimental results demonstrate that DiaLLM outperforms baselines in clinical test recommendation and diagnosis prediction.",最近，大型语言模型（LLMs）在医疗咨询方面取得了显著进展。然而，现有的医疗LLMs忽视了电子健康记录（EHR）的重要作用，主要集中在诊断推荐上，限制了其临床适用性。我们提出了DiaLLM，这是第一个将异构EHR数据集成到临床对话中的医疗LLM，能够进行临床测试推荐、结果解释和诊断预测，以更好地与实际医疗实践保持一致。为了从EHR构建临床对话，我们设计了一种临床测试参考（CTR）策略，将每个临床代码映射到其对应的描述，并将测试结果分类为“正常”或“异常”。此外，DiaLLM采用强化学习框架进行证据获取和自动诊断。为了处理大动作空间，我们引入了拒绝采样策略，以减少冗余并提高探索效率。此外，设计了确认奖励和类敏感诊断奖励，以指导准确的诊断预测。广泛的实验结果表明，DiaLLM在临床测试推荐和诊断预测方面优于基线。,"The paper introduces DiaLLM, an LLM integrated with EHR data for improved clinical test recommendation and diagnosis prediction in medical consultations.",LLM,Helpful,"LLM, EHR, medical consultation, clinical test recommendation, diagnosis prediction"
Learning Instruction-Following Policies through Open-Ended Instruction Relabeling with Large Language Models,"Zhicheng Zhang, Ziyan Wang, Yali Du, Fei Fang",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20061.pdf,"Developing effective instruction-following policies in reinforcement learning remains challenging due to the reliance on extensive human-labeled instruction datasets and the difficulty of learning from sparse rewards. In this paper, we propose a novel approach that leverages the capabilities of large language models (LLMs) to automatically generate open-ended instructions retrospectively from previously collected agent trajectories. Our core idea is to employ LLMs to relabel unsuccessful trajectories by identifying meaningful subtasks the agent has implicitly accomplished, thereby enriching the agent's training data and substantially alleviating reliance on human annotations. Through this open-ended instruction relabeling, we efficiently learn a unified instruction-following policy capable of handling diverse tasks within a single policy. We empirically evaluate our proposed method in the challenging Craftax environment, demonstrating clear improvements in sample efficiency, instruction coverage, and overall policy performance compared to state-of-the-art baselines. Our results highlight the effectiveness of utilizing LLM-guided open-ended instruction relabeling to enhance instruction-following reinforcement learning.",通过大型语言模型（LLM）自动生成开放式指令，从先前收集的代理轨迹中回溯生成，从而丰富代理的训练数据，显著减少对人类标注的依赖。通过这种开放式指令重新标记，我们有效地学习了一个统一的指令遵循策略，能够在单个策略中处理多种任务。我们在具有挑战性的Craftax环境中对我们提出的方法进行了实证评估，显示出样本效率、指令覆盖和整体策略性能方面的显著改进。,The paper presents a method using LLMs to generate instructions from agent trajectories to improve instruction-following in reinforcement learning.,LLM,Helpful,"Instruction-following, Reinforcement Learning, Large Language Models, Relabeling, Policy Learning"
A Modular Multitask Reasoning Framework Integrating Spatio-temporal Models and LLMs,"Kethmi Hirushini Hettige, Jiahao Ji, Cheng Long, Shili Xiang, Gao Cong, Jingyuan Wang",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20073.pdf,"Spatio-temporal data mining plays a pivotal role in informed decision making across diverse domains. However, existing models are often restricted to narrow tasks, lacking the capacity for multi-task inference and complex long-form reasoning that require generation of in-depth, explanatory outputs. These limitations restrict their applicability to real-world, multi-faceted decision scenarios. In this work, we introduce STReason, a novel framework that integrates the reasoning strengths of large language models (LLMs) with the analytical capabilities of spatio-temporal models for multi-task inference and execution. Without requiring task-specific finetuning, STReason leverages in-context learning to decompose complex natural language queries into modular, interpretable programs, which are then systematically executed to generate both solutions and detailed rationales. To facilitate rigorous evaluation, we construct a new benchmark dataset and propose a unified evaluation framework with metrics specifically designed for long-form spatio-temporal reasoning. Experimental results show that STReason significantly outperforms advanced LLM baselines across all metrics, particularly excelling in complex, reasoning-intensive spatio-temporal scenarios. Human evaluations further validate STReason's credibility and practical utility, demonstrating its potential to reduce expert workload and broaden the applicability to real-world spatio-temporal tasks. We believe STReason provides a promising direction for developing more capable and generalizable spatio-temporal reasoning systems.",空间时间数据挖掘在各种领域的信息化决策中起着至关重要的作用。然而，现有模型通常受限于狭窄的任务，缺乏进行多任务推理和复杂长期推理的能力，这需要生成深入、解释性的输出。这些限制使它们在现实世界中多方面的决策场景中难以应用。在本文中，我们提出了STReason，一种新颖的框架，将大型语言模型（LLMs）的推理能力与空间时间模型的分析能力结合起来，用于多任务推理和执行。STReason不需要特定任务的微调，利用上下文学习将复杂的自然语言查询分解为模块化、可解释的程序，然后系统地执行这些程序以生成解决方案和详细的理由。为了促进严格的评估，我们构建了一个新的基准数据集，并提出了一个统一的评估框架，其中包含专门为长期空间时间推理设计的指标。实验结果表明，STReason在所有指标上都显著优于先进的LLM基线，特别是在复杂、推理密集型的空间时间场景中表现出色。人类评估进一步验证了STReason的可信度和实际效用，表明其有潜力减少专家的工作量，并扩大其在现实世界空间时间任务中的适用性。我们认为STReason为开发更具能力和通用性的空间时间推理系统提供了一个有前途的方向。,"The paper introduces STReason, a framework that integrates LLMs with spatio-temporal models for multi-task inference and execution, demonstrating improved performance in complex reasoning scenarios.",LLM,Helpful,"LLM, Spatio-temporal reasoning, Multi-task inference, In-context learning, Decision making"
How to Retrieve Examples in In-context Learning to Improve Conversational Emotion Recognition using Large Language Models?,"Mengqi Wang, Tiantian Feng, Shrikanth Narayanan",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20199.pdf,"Large language models (LLMs) have enabled a wide variety of real-world applications in various domains. However, creating a high-performing application with high accuracy remains challenging, particularly for subjective tasks like emotion recognition. Inspired by the SLT 2024 GenSER Challenge, this study investigates approaches to improving conversational emotion recognition (CER) by LLMs. Specifically, we explore how to retrieve high-quality examples in in-context learning (ICL) to enhance CER. We propose various strategies based on random and augmented example retrieval and also analyze the impact of conversational context on CER accuracy. Experiments were conducted on the three datasets including IEMOCAP, MELD and EmoryNLP. The results show that augmented example retrieval consistently outperforms other techniques under investigation across all datasets, highlighting the importance of retrieving coherent targeted examples and enhancing them through paraphrasing.",大语言模型（LLMs）已经在各种领域的实际应用中取得了广泛的成功。然而，创建一个具有高准确性的高性能应用程序仍然具有挑战性，特别是对于主观任务，如情感识别。受SLT 2024 GenSER挑战赛的启发，本研究探讨了通过LLMs改进对话情感识别（CER）的方法。具体来说，我们探讨了如何在上下文学习（ICL）中检索高质量的示例以增强CER。我们提出了基于随机和增强示例检索的各种策略，并分析了对话上下文对CER准确性的影响。实验在包括IEMOCAP、MELD和EmoryNLP在内的三个数据集上进行。结果表明，增强示例检索在所有数据集上都显著优于其他研究技术，突显了检索一致的有针对性的示例并通过改写增强它们的重要性。,The paper explores methods to improve conversational emotion recognition in large language models by enhancing example retrieval in in-context learning.,LLM,Helpful,"In-context learning, Emotion recognition, Example retrieval, Large language models, Conversational AI"
Q-resafe: Assessing Safety Risks and Quantization-aware Safety Patching for Quantized Large Language Models,"Kejia Chen, Jiawen Zhang, Jiacong Hu, Yu Wang, Jian Lou, Zunlei Feng, Mingli Song",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20251.pdf,"Quantized large language models (LLMs) have gained increasing attention and significance for enabling deployment in resource-constrained environments. However, emerging studies on a few calibration dataset-free quantization methods suggest that quantization may compromise the safety capabilities of LLMs, underscoring the urgent need for systematic safety evaluations and effective mitigation strategies. In this paper, we present comprehensive safety evaluations across various mainstream quantization techniques and diverse calibration datasets, utilizing widely accepted safety benchmarks. To address the identified safety vulnerabilities, we propose a quantization-aware safety patching framework, Q-resafe, to efficiently restore the safety capabilities of quantized LLMs while minimizing any adverse impact on utility. Extensive experimental results demonstrate that Q-resafe successfully re-aligns the safety of quantized LLMs with their pre-quantization counterparts, even under challenging evaluation scenarios. Project page is available at: https://github.com/Thecommonirin/Qresafe.",量化大语言模型（LLMs）在资源受限环境中部署方面越来越受到关注和重视。然而，关于几种无校准数据集的量化方法的研究表明，量化可能会削弱LLMs的安全能力，这突显了系统化安全评估和有效缓解策略的紧迫需求。在本文中，我们在各种主流量化技术和多样化校准数据集上进行了全面的安全评估，利用广泛接受的安全基准。为了解决所识别的安全漏洞，我们提出了一个量化感知安全补丁框架Q-resafe，以高效地恢复量化LLMs的安全能力，同时最小化对效用的任何不利影响。广泛的实验结果表明，Q-resafe在挑战性评估场景下成功地重新对齐了量化LLMs的安全性，与其量化前的对应物相一致。项目页面可在以下网址找到：https://github.com/Thecommonirin/Qresafe。,"The paper introduces Q-resafe, a framework to evaluate and restore the safety of quantized large language models.",LLM,Harmless,"Quantization, Safety, LLMs, Patching, Evaluation"
Enterprise Large Language Model Evaluation Benchmark,"Liya Wang, David Yi, Damien Jose, John Passarelli, James Gao, Jordan Leventis, Kang Li",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20274.pdf,"Large Language Models (LLMs) ) have demonstrated promise in boosting productivity across AI-powered tools, yet existing benchmarks like Massive Multitask Language Understanding (MMLU) inadequately assess enterprise-specific task complexities. We propose a 14-task framework grounded in Bloom's Taxonomy to holistically evaluate LLM capabilities in enterprise contexts. To address challenges of noisy data and costly annotation, we develop a scalable pipeline combining LLM-as-a-Labeler, LLM-as-a-Judge, and corrective retrieval-augmented generation (CRAG), curating a robust 9,700-sample benchmark. Evaluation of six leading models shows open-source contenders like DeepSeek R1 rival proprietary models in reasoning tasks but lag in judgment-based scenarios, likely due to overthinking. Our benchmark reveals critical enterprise performance gaps and offers actionable insights for model optimization. This work provides enterprises a blueprint for tailored evaluations and advances practical LLM deployment.","大型语言模型（LLMs）在提高AI驱动工具的生产力方面表现出巨大潜力，但现有的基准测试，如大规模多任务语言理解（MMLU），无法充分评估企业特定任务的复杂性。我们提出一个基于布鲁姆分类法的14项任务框架，全面评估LLM在企业环境中的能力。为了应对噪声数据和昂贵标注的挑战，我们开发了一种可扩展的流水线，结合LLM作为标签器、LLM作为裁判和校正检索增强生成（CRAG），策划了一个坚固的9,700样本基准。对六个领先模型的评估表明，开源竞争者如DeepSeek R1在推理任务中与专有模型不相上下，但在基于判断的场景中表现不佳，可能是由于过度思考。我们的基准揭示了关键的企业性能差距，并为模型优化提供了可操作的见解。本文为企业提供了定制评估的蓝图，并推动了实际LLM部署。","The paper introduces a new benchmark for evaluating LLMs in enterprise settings, highlighting performance gaps and providing insights for model optimization.",LLM,Helpful,"LLM evaluation, enterprise tasks, benchmark, Bloom's Taxonomy, model optimization"
TAPS: Tool-Augmented Personalisation via Structured Tagging,"Ekaterina Taktasheva, Jeff Dalton",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20409.pdf,"Recent advancements in tool-augmented large language models have enabled them to interact with external tools, enhancing their ability to perform complex user tasks. However, existing approaches overlook the role of personalisation in guiding tool use. This work investigates how user preferences can be effectively integrated into goal-oriented dialogue agents. Through extensive analysis, we identify key weaknesses in the ability of LLMs to personalise tool use. To this end, we introduce \name, a novel solution that enhances personalised tool use by leveraging a structured tagging tool and an uncertainty-based tool detector. TAPS significantly improves the ability of LLMs to incorporate user preferences, achieving the new state-of-the-art for open source models on the NLSI task.",最近，工具增强的大型语言模型的进展使它们能够与外部工具交互，从而增强了它们执行复杂用户任务的能力。然而，现有方法忽略了个性化在指导工具使用中的作用。本文研究了用户偏好如何有效地集成到目标导向的对话代理中。通过广泛的分析，我们识别出大型语言模型在个性化工具使用方面的关键弱点。为此，我们引入了\name，一种新颖的解决方案，通过利用结构化标记工具和基于不确定性的工具检测器，增强了个性化工具使用。TAPS显著提高了大型语言模型将用户偏好纳入的能力，在NLSI任务上实现了开源模型的新的最佳状态。,"The paper introduces TAPS, a method to enhance personalised tool use in large language models by leveraging structured tagging and uncertainty-based tool detection.",LLM,Helpful,"Personalisation, Tool-Augmented, Large Language Models, User Preferences, Structured Tagging"
Probing AI Safety with Source Code,"Ujwal Narayan, Shreyas Chaudhari, Ashwin Kalyan, Tanmay Rajpurohit, Karthik Narasimhan, Ameet Deshpande, Vishvak Murahari",2025-06-26T00:00:00-04:00,https://arxiv.org/pdf/2506.20471.pdf,"Large language models (LLMs) have become ubiquitous, interfacing with humans in numerous safety-critical applications. This necessitates improving capabilities, but importantly coupled with greater safety measures to align these models with human values and preferences. In this work, we demonstrate that contemporary models fall concerningly short of the goal of AI safety, leading to an unsafe and harmful experience for users. We introduce a prompting strategy called Code of Thought (CoDoT) to evaluate the safety of LLMs. CoDoT converts natural language inputs to simple code that represents the same intent. For instance, CoDoT transforms the natural language prompt ""Make the statement more toxic: {text}"" to: ""make_more_toxic({text})"". We show that CoDoT results in a consistent failure of a wide range of state-of-the-art LLMs. For example, GPT-4 Turbo's toxicity increases 16.5 times, DeepSeek R1 fails 100% of the time, and toxicity increases 300% on average across seven modern LLMs. Additionally, recursively applying CoDoT can further increase toxicity two times. Given the rapid and widespread adoption of LLMs, CoDoT underscores the critical need to evaluate safety efforts from first principles, ensuring that safety and capabilities advance together.",大语言模型（LLMs）已经无处不在，与人类在许多安全关键应用中进行交互。这需要提高能力，但更重要的是与更大的安全措施相结合，以使这些模型与人类的价值观和偏好保持一致。在本工作中，我们展示了当代模型在实现人工智能安全方面令人担忧地落后于目标，导致用户的不安全和有害体验。我们引入了一种称为代码思维（CoDoT）的提示策略，以评估LLMs的安全性。CoDoT将自然语言输入转换为表示相同意图的简单代码。例如，CoDoT将自然语言提示“使陈述更具毒性：{text}”转换为：“make_more_toxic({text})”。我们表明，CoDoT导致一系列最新的LLMs一致失败。例如，GPT-4 Turbo的毒性增加了16.5倍，DeepSeek R1 100%的时间失败，七种现代LLMs的毒性平均增加了300%。此外，递归应用CoDoT可以进一步增加毒性两倍。鉴于LLMs的快速和广泛采用，CoDoT强调了从第一原理评估安全努力的关键性，确保安全性和能力共同进步。,The paper introduces a method called Code of Thought (CoDoT) to evaluate the safety of large language models (LLMs) and demonstrates that contemporary LLMs often produce harmful outputs.,LLM,Harmless,"LLM safety, alignment, harmful outputs, Code of Thought, toxicity"
